,sentiment
0,0
1,0
2,4
3,4
4,0
5,4
6,0
7,0
8,0
9,0
10,0
11,0
12,4
13,0
14,4
15,4
16,0
17,4
18,0
19,0
20,0
21,4
22,4
23,0
24,0
25,4
26,4
27,0
28,0
29,0
30,4
31,4
32,0
33,4
34,4
35,0
36,4
37,4
38,4
39,0
40,0
41,0
42,4
43,4
44,4
45,0
46,0
47,4
48,0
49,4
50,0
51,0
52,0
53,4
54,0
55,4
56,4
57,0
58,0
59,4
60,4
61,4
62,0
63,0
64,4
65,4
66,0
67,4
68,0
69,0
70,0
71,0
72,0
73,0
74,4
75,0
76,4
77,4
78,0
79,4
80,0
81,0
82,0
83,4
84,4
85,0
86,0
87,4
88,4
89,0
90,0
91,0
92,4
93,4
94,0
95,4
96,4
97,0
98,4
99,4
100,4
101,0
102,0
103,0
104,4
105,4
106,4
107,0
108,0
109,4
110,0
111,4
112,0
113,0
114,0
115,4
116,0
117,4
118,4
119,0
120,0
121,4
122,4
123,4
124,0
125,0
126,4
127,4
128,0
129,4
130,0
131,0
132,0
133,0
134,0
135,0
136,4
137,0
138,4
139,4
140,0
141,4
142,0
143,0
144,0
145,4
146,4
147,0
148,0
149,4
150,4
151,0
152,0
153,0
154,4
155,4
156,0
157,4
158,4
159,0
160,4
161,4
162,4
163,0
164,0
165,0
166,4
167,4
168,4
169,0
170,0
171,4
172,0
173,4
174,0
175,0
176,0
177,4
178,0
179,4
180,4
181,0
182,0
183,4
184,4
185,4
186,0
187,0
188,4
189,4
190,0
191,4
192,0
193,0
194,0
195,0
196,0
197,0
198,4
199,0
200,4
201,4
202,0
203,4
204,0
205,0
206,0
207,4
208,4
209,0
210,0
211,4
212,4
213,0
214,0
215,0
216,4
217,4
218,0
219,4
220,4
221,0
222,4
223,4
224,4
225,0
226,0
227,0
228,4
229,4
230,4
231,0
232,0
233,4
234,0
235,4
236,0
237,0
238,0
239,4
240,0
241,4
242,4
243,0
244,0
245,4
246,4
247,4
248,0
249,0
250,4
251,4
252,0
253,4
254,0
255,0
256,0
257,0
258,0
259,0
260,4
261,0
262,4
263,4
264,0
265,4
266,0
267,0
268,0
269,4
270,4
271,0
272,0
273,4
274,4
275,0
276,0
277,0
278,4
279,4
280,0
281,4
282,4
283,0
284,4
285,4
286,4
287,0
288,0
289,0
290,4
291,4
292,4
293,0
294,0
295,4
296,0
297,4
298,0
299,0
300,0
301,4
302,0
303,4
304,4
305,0
306,0
307,4
308,4
309,4
