,sentiment
0,0
1,0
2,0
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,0
13,4
14,4
15,0
16,0
17,0
18,0
19,4
20,0
21,4
22,4
23,0
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,0
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,0
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,0
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,0
68,4
69,4
70,0
71,0
72,0
73,4
74,4
75,4
76,4
77,0
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,4
86,0
87,4
88,4
89,0
90,4
91,4
92,4
93,4
94,4
95,4
96,0
97,4
98,4
99,4
100,0
101,0
102,0
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,0
113,4
114,4
115,0
116,0
117,0
118,0
119,4
120,0
121,4
122,4
123,0
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,0
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,0
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,0
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,0
168,4
169,4
170,0
171,0
172,0
173,4
174,4
175,4
176,4
177,0
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,0
187,4
188,4
189,0
190,4
191,4
192,4
193,4
194,4
195,4
196,0
197,4
198,4
199,4
200,0
201,0
202,0
203,4
204,4
205,4
206,4
207,4
208,4
209,4
210,4
211,4
212,0
213,4
214,4
215,0
216,0
217,0
218,0
219,4
220,0
221,4
222,4
223,0
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,0
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,4
250,0
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,0
259,4
260,4
261,4
262,4
263,4
264,4
265,4
266,4
267,0
268,4
269,4
270,0
271,0
272,0
273,4
274,4
275,4
276,4
277,0
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,0
287,4
288,4
289,0
290,4
291,4
292,4
293,4
294,4
295,4
296,0
297,4
298,4
299,4
300,0
301,0
302,0
303,4
304,4
305,4
306,4
307,4
308,4
309,4
310,4
311,4
312,0
313,4
314,4
315,0
316,0
317,0
318,0
319,4
320,0
321,4
322,4
323,0
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,4
339,4
340,0
341,4
342,4
343,4
344,4
345,4
346,4
347,4
348,4
349,4
350,0
351,4
352,4
353,4
354,4
355,4
356,4
357,4
358,0
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,0
368,4
369,4
370,0
371,0
372,0
373,4
374,4
375,4
376,4
377,0
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,0
387,4
388,4
389,0
390,4
391,4
392,4
393,4
394,4
395,4
396,0
397,4
398,4
399,4
400,0
401,0
402,0
403,4
404,4
405,4
406,4
407,4
408,4
409,4
410,4
411,4
412,0
413,4
414,4
415,0
416,0
417,0
418,0
419,4
420,0
421,4
422,4
423,0
424,4
425,4
426,4
427,4
428,4
429,4
430,4
431,4
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,4
440,0
441,4
442,4
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,0
451,4
452,4
453,4
454,4
455,4
456,4
457,4
458,0
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,0
468,4
469,4
470,0
471,0
472,0
473,4
474,4
475,4
476,4
477,0
478,4
479,4
480,4
481,4
482,4
483,4
484,4
485,4
486,0
487,4
488,4
489,0
490,4
491,4
492,4
493,4
494,4
495,4
496,0
497,4
498,4
499,4
