,sentiment
0,4
1,4
2,4
3,4
4,0
5,4
6,4
7,4
8,0
9,4
10,0
11,4
12,4
13,4
14,0
15,4
16,4
17,4
18,4
19,4
20,0
21,4
22,4
23,4
24,0
25,4
26,4
27,4
28,0
29,4
30,4
31,4
32,0
33,4
34,0
35,4
36,4
37,0
38,4
39,0
40,4
41,0
42,0
43,4
44,0
45,0
46,4
47,0
48,0
49,0
50,0
51,4
52,0
53,0
54,0
55,4
56,4
57,4
58,4
59,4
60,0
61,0
62,0
63,4
64,4
65,0
66,0
67,0
68,4
69,4
70,4
71,4
72,4
73,0
74,0
75,4
76,4
77,0
78,0
79,4
80,0
81,0
82,4
83,4
84,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,0
105,4
106,4
107,4
108,0
109,4
110,0
111,4
112,4
113,4
114,0
115,4
116,4
117,4
118,4
119,4
120,0
121,4
122,4
123,4
124,0
125,4
126,4
127,4
128,0
129,4
130,4
131,4
132,0
133,4
134,0
135,4
136,4
137,0
138,4
139,0
140,4
141,0
142,0
143,4
144,0
145,0
146,4
147,0
148,0
149,0
150,0
151,4
152,0
153,0
154,0
155,4
156,4
157,4
158,4
159,4
160,0
161,0
162,0
163,4
164,4
165,0
166,0
167,0
168,4
169,4
170,4
171,4
172,4
173,0
174,0
175,4
176,4
177,0
178,0
179,4
180,0
181,0
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,0
205,4
206,4
207,4
208,0
209,4
210,0
211,4
212,4
213,4
214,0
215,4
216,4
217,4
218,4
219,4
220,0
221,4
222,4
223,4
224,0
225,4
226,4
227,4
228,0
229,4
230,4
231,4
232,0
233,4
234,0
235,4
236,4
237,0
238,4
239,0
240,4
241,0
242,0
243,4
244,0
245,0
246,4
247,0
248,0
249,0
250,0
251,4
252,0
253,0
254,0
255,4
256,4
257,4
258,4
259,4
260,0
261,0
262,0
263,4
264,4
265,0
266,0
267,0
268,4
269,4
270,4
271,4
272,4
273,0
274,0
275,4
276,4
277,0
278,0
279,4
280,0
281,0
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,4
303,4
304,0
305,4
306,4
307,4
308,0
309,4
310,0
311,4
312,4
313,4
314,0
315,4
316,4
317,4
318,4
319,4
320,0
321,4
322,4
323,4
324,0
325,4
326,4
327,4
328,0
329,4
330,4
331,4
332,0
333,4
334,0
335,4
336,4
337,0
338,4
339,0
340,4
341,0
342,0
343,4
344,0
345,0
346,4
347,0
348,0
349,0
350,0
351,4
352,0
353,0
354,0
355,4
356,4
357,4
358,4
359,4
360,0
361,0
362,0
363,4
364,4
365,0
366,0
367,0
368,4
369,4
370,4
371,4
372,4
373,0
374,0
375,4
376,4
377,0
378,0
379,4
380,0
381,0
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,4
391,4
392,4
393,4
394,4
395,4
396,4
397,4
398,4
399,4
400,4
401,4
402,4
403,4
404,0
405,4
406,4
407,4
408,0
409,4
410,0
411,4
412,4
413,4
414,0
415,4
416,4
417,4
418,4
419,4
420,0
421,4
422,4
423,4
424,0
425,4
426,4
427,4
428,0
429,4
430,4
431,4
432,0
433,4
434,0
435,4
436,4
437,0
438,4
439,0
440,4
441,0
442,0
443,4
444,0
445,0
446,4
447,0
448,0
449,0
450,0
451,4
452,0
453,0
454,0
455,4
456,4
457,4
458,4
459,4
460,0
461,0
462,0
463,4
464,4
465,0
466,0
467,0
468,4
469,4
470,4
471,4
472,4
473,0
474,0
475,4
476,4
477,0
478,0
479,4
480,0
481,0
482,4
483,4
484,4
485,4
486,4
487,4
488,4
489,4
490,4
491,4
492,4
493,4
494,4
495,4
496,4
497,4
498,4
499,4
