,sentiment
0,0
1,0
2,0
3,0
4,4
5,0
6,0
7,0
8,4
9,4
10,4
11,0
12,0
13,4
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,4
22,0
23,4
24,4
25,4
26,4
27,4
28,4
29,0
30,4
31,4
32,4
33,0
34,0
35,0
36,0
37,0
38,4
39,0
40,0
41,0
42,4
43,0
44,0
45,0
46,0
47,0
48,4
49,0
50,0
51,0
52,4
53,4
54,4
55,0
56,0
57,4
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,4
66,0
67,4
68,4
69,4
70,4
71,4
72,4
73,0
74,4
75,4
76,4
77,0
78,0
79,0
80,0
81,0
82,4
83,0
84,0
85,0
86,4
87,0
88,0
89,0
90,0
91,0
92,4
93,0
94,0
95,0
96,4
97,4
98,4
99,0
100,0
101,4
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,4
110,0
111,4
112,4
113,4
114,4
115,4
116,4
117,0
118,4
119,4
120,4
121,0
122,0
123,0
124,0
125,0
126,4
127,0
128,0
129,0
130,4
131,0
132,0
133,0
134,0
135,0
136,4
137,0
138,0
139,0
140,4
141,4
142,4
143,0
144,0
145,4
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,4
154,0
155,4
156,4
157,4
158,4
159,4
160,4
161,0
162,4
163,4
164,4
165,0
166,0
167,0
168,0
169,0
170,4
171,0
172,0
173,0
174,4
175,0
176,0
177,0
178,0
179,0
180,4
181,0
182,0
183,0
184,4
185,4
186,4
187,0
188,0
189,4
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,4
198,0
199,4
200,4
201,4
202,4
203,4
204,4
205,0
206,4
207,4
208,4
209,0
210,0
211,0
212,0
213,0
214,4
215,0
216,0
217,0
218,4
219,0
