,sentiment
0,4
1,4
2,0
3,0
4,4
5,4
6,0
7,0
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,0
16,4
17,4
18,4
19,0
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,0
29,0
30,4
31,4
32,0
33,0
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,0
42,4
43,4
44,4
45,0
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,0
55,0
56,4
57,4
58,0
59,0
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,0
68,4
69,4
70,4
71,0
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,0
81,0
82,4
83,4
84,0
85,0
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,0
94,4
95,4
96,4
97,0
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,0
107,0
108,4
109,4
110,0
111,0
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,0
120,4
121,4
122,4
123,0
124,4
125,4
126,4
127,4
128,4
129,4
